_id,discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_full_name,country_name,country_code,country_3_letter_code
66743e45a04e59671e0a3215,Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,Stefania CONSTANTINI,Italy,IT,ITA
66743e45a04e59671e0a3216,Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,Amos MOSANER,Italy,IT,ITA
66743e45a04e59671e0a3217,Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,Kristin SKASLIEN,Norway,NO,NOR
66743e45a04e59671e0a3218,Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,Magnus NEDREGOTTEN,Norway,NO,NOR
66743e45a04e59671e0a3219,Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,Almida DE VAL,Sweden,SE,SWE
66743e45a04e59671e0a321a,Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,Oskar ERIKSSON,Sweden,SE,SWE
66743e45a04e59671e0a321b,Curling,beijing-2022,Women,Women,GOLD,GameTeam,Great Britain,,Great Britain,GB,GBR
66743e45a04e59671e0a321c,Curling,beijing-2022,Women,Women,SILVER,GameTeam,Japan,,Japan,JP,JPN
66743e45a04e59671e0a321d,Curling,beijing-2022,Women,Women,BRONZE,GameTeam,Sweden,,Sweden,SE,SWE
66743e45a04e59671e0a321e,Curling,beijing-2022,Men,Men,GOLD,GameTeam,Sweden,,Sweden,SE,SWE
66743e45a04e59671e0a321f,Curling,beijing-2022,Men,Men,SILVER,GameTeam,Great Britain,,Great Britain,GB,GBR
66743e45a04e59671e0a3220,Curling,beijing-2022,Men,Men,BRONZE,GameTeam,Canada,,Canada,CA,CAN
66743e45a04e59671e0a3221,Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,,Mikael KINGSBURY,Canada,CA,CAN
66743e45a04e59671e0a3222,Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,,Walter WALLBERG,Sweden,SE,SWE
66743e45a04e59671e0a3223,Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,,Ikuma HORISHIMA,Japan,JP,JPN
66743e45a04e59671e0a3224,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,,Nico PORTEOUS,New Zealand,NZ,NZL
66743e45a04e59671e0a3225,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,,David WISE,United States of America,US,USA
66743e45a04e59671e0a3226,Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,,Alex FERREIRA,United States of America,US,USA
66743e45a04e59671e0a3227,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,,Henrik HARLAUT,Sweden,SE,SWE
66743e45a04e59671e0a3228,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,,Birk RUUD,Norway,NO,NOR
66743e45a04e59671e0a3229,Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,,Colby STEVENSON,United States of America,US,USA
66743e45a04e59671e0a322a,Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,,Sergey RIDZIK,ROC,ROC,ROC
66743e45a04e59671e0a322b,Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,,Alex FIVA,Switzerland,CH,SUI
66743e45a04e59671e0a322c,Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,,Ryan REGEZ,Switzerland,CH,SUI
66743e45a04e59671e0a322d,Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,,Mathilde GREMAUD,Switzerland,CH,SUI
66743e45a04e59671e0a322e,Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,,Ailing Eileen GU,People's Republic of China,CN,CHN
66743e45a04e59671e0a322f,Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,,Tess LEDEUX,France,FR,FRA
66743e45a04e59671e0a3230,Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,,Jaelin KAUF,United States of America,US,USA
66743e45a04e59671e0a3231,Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,,Jakara ANTHONY,Australia,AU,AUS
66743e45a04e59671e0a3232,Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,,Anastasiia SMIRNOVA,ROC,ROC,ROC
66743e45a04e59671e0a3233,Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,United States,,United States of America,US,USA
66743e45a04e59671e0a3234,Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,China,,People's Republic of China,CN,CHN
66743e45a04e59671e0a3235,Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,Canada,,Canada,CA,CAN
66743e45a04e59671e0a3236,Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,,Marielle THOMPSON,Canada,CA,CAN
66743e45a04e59671e0a3237,Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,,Sandra NAESLUND,Sweden,SE,SWE
66743e45a04e59671e0a3238,Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,,Daniela MAIER,Germany,DE,GER
66743e45a04e59671e0a3239,Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,,Ilia BUROV,ROC,ROC,ROC
66743e45a04e59671e0a323a,Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,,Guangpu QI,People's Republic of China,CN,CHN
66743e45a04e59671e0a323b,Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,,Oleksandr ABRAMENKO,Ukraine,UA,UKR
66743e45a04e59671e0a323c,Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,,Hanna HUSKOVA,Belarus,BY,BLR
66743e45a04e59671e0a323d,Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,,Mengtao XU,People's Republic of China,CN,CHN
66743e45a04e59671e0a323e,Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,,Megan NICK,United States of America,US,USA
66743e45a04e59671e0a323f,Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,,Cassie SHARPE,Canada,CA,CAN
66743e45a04e59671e0a3240,Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,,Ailing Eileen GU,People's Republic of China,CN,CHN
66743e45a04e59671e0a3241,Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,,Rachel KARKER,Canada,CA,CAN
66743e45a04e59671e0a3242,Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,,Ailing Eileen GU,People's Republic of China,CN,CHN
66743e45a04e59671e0a3243,Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,,Mathilde GREMAUD,Switzerland,CH,SUI
66743e45a04e59671e0a3244,Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,,Kelly SILDARU,Estonia,EE,EST
66743e45a04e59671e0a3245,Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,,Nicholas GOEPPER,United States of America,US,USA
66743e45a04e59671e0a3246,Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,,Jesper TJADER,Sweden,SE,SWE
66743e45a04e59671e0a3247,Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,,Alexander HALL,United States of America,US,USA
66743e45a04e59671e0a3248,Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete,,Suzanne SCHULTING,Netherlands,NL,NED
66743e45a04e59671e0a3249,Short Track Speed Skating,beijing-2022,Women's 500m,Women,BRONZE,Athlete,,Kim BOUTIN,Canada,CA,CAN
66743e45a04e59671e0a324a,Short Track Speed Skating,beijing-2022,Women's 500m,Women,GOLD,Athlete,,Arianna FONTANA,Italy,IT,ITA
66743e45a04e59671e0a324b,Short Track Speed Skating,beijing-2022,Men's 500m,Men,BRONZE,Athlete,,Steven DUBOIS,Canada,CA,CAN
66743e45a04e59671e0a324c,Short Track Speed Skating,beijing-2022,Men's 500m,Men,GOLD,Athlete,,Shaoang LIU,Hungary,HU,HUN
66743e45a04e59671e0a324d,Short Track Speed Skating,beijing-2022,Men's 500m,Men,SILVER,Athlete,,Konstantin IVLIEV,ROC,ROC,ROC
